headline,url,author,pubdate
The Bando bandwagon,http://registerguard.com/rg/photo/36550000-321/the-bando-bandwagon.html.csp,The Register-Guard Staff,2018-03-14 14:30:01
Oregon Ducks softball finishes perfect weekend with 17-1 win over Bryant,http://registerguard.com/rg/photo/36540554-321/oregon-ducks-softball-finishes-perfect-weekend-with-17-1-win-over-bryant.html.csp,Collin Andrew,2018-03-11 19:14:01
Week in Pictures,http://registerguard.com/rg/photo/36518254-321/week-in-pictures.html.csp,Associated Press,2018-03-05 10:09:02
2018 Susan Komen Run for the Cure,http://registerguard.com/rg/photo/36515070-321/2018-susan-komen-run-for-the-cure.html.csp,Chris Pietsch,2018-03-04 12:59:01
Ducks down Devils 75-68,http://registerguard.com/rg/photo/36480848-321/ducks-down-devils-75-68.html.csp,Andy Nelson,2018-02-22 22:58:02
Week in Pictures,http://registerguard.com/rg/photo/36439623-321/week-in-pictures.html.csp,Assoicated Press,2018-02-12 10:46:01
Ducks down Cougars 84-57,http://registerguard.com/rg/photo/36437790-321/ducks-down-cougars-84-57.html.csp,Andy Nelson,2018-02-11 19:50:02
Scenes from the Winter Olympics opening ceremony,http://registerguard.com/rg/photo/36428387-321/scenes-from-the-winter-olympics-opening-ceremony.html.csp,,2018-02-09 08:45:34
Ducks down Huskies 65-40,http://registerguard.com/rg/photo/36427059-321/ducks-down-huskies-65-40.html.csp,Andy Nelson,2018-02-08 21:52:40
Week in Pictures,http://registerguard.com/rg/photo/36407827-321/week-in-pictures.html.csp,Associated Press,2018-02-03 21:40:02
Week in Pictures,http://registerguard.com/rg/photo/36393009-321/week-in-pictures.html.csp,The Associated Press,2018-01-30 09:44:01
Women’s March for Action,http://registerguard.com/rg/photo/36360383-321/womens-march-for-action.html.csp,Collin Andrew and Chris Pietsch,2018-01-20 15:51:02
No. 18 Oregon State Beavers own the state with 85-79 overtime win over No. 7 Oregon Ducks,http://registerguard.com/rg/photo/36359167-321/no.-18-oregon-state-beavers-own-the-state-with-85-79-overtime-win-over-no.-7-oregon-ducks.csp,Collin Andrew,2018-01-20 08:49:01
Week in Pictures,http://registerguard.com/rg/photo/36353191-321/week-in-pictures.html.csp,The Associated Press,2018-01-19 09:11:01
View of the news,http://registerguard.com/rg/photo/36326762-321/view-of-the-news.html.csp,The Photography Staff,2018-01-10 10:32:01
View of the news,http://registerguard.com/rg/photo/36321422-321/view-of-the-news.html.csp,The Photography Staff,2018-01-08 17:07:01
Moments we will remember,http://registerguard.com/rg/photo/36280914-321/moments-we-will-remember.html.csp,"Collin Andrew, Carl Davaz, Brian Davies, Andy Nelson, Kelly Lyon and Chris Pietsch",2017-12-24 11:06:01
The 2017 total solar eclipse,http://registerguard.com/rg/photo/36270286-321/the-2017-total-solar-eclipse.html.csp,"Collin Andrew, Thomas Boyd, Paul Carter, Carl Davaz, Brian Davies, August Frank, Rhianna Gelhart, Kelly Lyon, Andy Nelson and Chris Pietsch",2017-12-20 17:12:01
Games people play,http://registerguard.com/rg/photo/36262975-321/games-people-play.html.csp,"Collin Andrew, Brian Davies, Carl Davaz, Andy Nelson and Chris Pietsch",2017-12-18 14:52:11
2017 Las Vegas Bowl: Oregon vs. Boise State,http://registerguard.com/rg/photo/36253834-321/2017-las-vegas-bowl-oregon-vs.-boise-state.csp,Andy Nelson,2017-12-16 15:23:14
